ev_status,ev_conn,ev_arrival,ev_departure
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
0.55955,1,0.44044999999999995,0.0345
